#SampleID	env_material	Collection_Date	BioSample
SRR10534151	Bulk soil	2016	SAMN13284067
SRR10534152	Bulk soil	2016	SAMN13284079
SRR10534153	Bulk soil	2016	SAMN13284069
SRR10534154	Bulk soil	2016	SAMN13284070
SRR10534155	Bulk soil	2016	SAMN13284071
SRR10534156	Bulk soil	2016	SAMN13284072
SRR10534157	Bulk soil	2016	SAMN13284073
SRR10534158	Bulk soil	2016	SAMN13284074
SRR10534159	Bulk soil	2016	SAMN13284075
SRR10534160	Bulk soil	2016	SAMN13284076
SRR10534161	Bulk soil	2016	SAMN13284077
SRR10534162	Bulk soil	2016	SAMN13284078
SRR10534163	Bulk soil	2016	SAMN13284090
SRR10534164	Bulk soil	2016	SAMN13284080
SRR10534165	Bulk soil	2016	SAMN13284081
SRR10534166	Bulk soil	2016	SAMN13284082
SRR10534167	Bulk soil	2016	SAMN13284083
SRR10534168	Bulk soil	2016	SAMN13284084
SRR10534169	Bulk soil	2016	SAMN13284085
SRR10534170	Bulk soil	2016	SAMN13284086
SRR10534171	Bulk soil	2016	SAMN13284087
SRR10534172	Bulk soil	2016	SAMN13284088
SRR10534173	Bulk soil	2016	SAMN13284089
SRR10534174	Bulk soil	2016	SAMN13284101
SRR10534175	Bulk soil	2016	SAMN13284091
SRR10534176	Bulk soil	2016	SAMN13284092
SRR10534177	Bulk soil	2016	SAMN13284093
SRR10534178	Bulk soil	2016	SAMN13284094
SRR10534179	Bulk soil	2016	SAMN13284095
SRR10534180	Bulk soil	2016	SAMN13284096
SRR10534181	Bulk soil	2016	SAMN13284097
SRR10534182	Bulk soil	2016	SAMN13284098
SRR10534183	Bulk soil	2016	SAMN13284099
SRR10534184	Bulk soil	2016	SAMN13284100
SRR10534185	Bulk soil	2016	SAMN13284112
SRR10534186	Bulk soil	2016	SAMN13284102
SRR10534187	Bulk soil	2016	SAMN13284103
SRR10534188	Bulk soil	2016	SAMN13284104
SRR10534189	Bulk soil	2016	SAMN13284105
SRR10534190	Bulk soil	2016	SAMN13284106
SRR10534191	Bulk soil	2016	SAMN13284107
SRR10534192	Bulk soil	2016	SAMN13284108
SRR10534193	Bulk soil	2016	SAMN13284109
SRR10534194	Bulk soil	2016	SAMN13284110
SRR10534195	Bulk soil	2016	SAMN13284111
SRR10534196	Bulk soil	2016	SAMN13284123
SRR10534197	Bulk soil	2016	SAMN13284113
SRR10534198	Bulk soil	2016	SAMN13284114
SRR10534199	Bulk soil	2016	SAMN13284115
SRR10534200	Bulk soil	2016	SAMN13284116
SRR10534201	Bulk soil	2016	SAMN13284117
SRR10534202	Bulk soil	2016	SAMN13284118
SRR10534203	Bulk soil	2016	SAMN13284119
SRR10534204	Bulk soil	2016	SAMN13284120
SRR10534205	Bulk soil	2016	SAMN13284121
SRR10534206	Bulk soil	2016	SAMN13284122
SRR10534207	Bulk soil	2016	SAMN13284131
SRR10534208	Bulk soil	2016	SAMN13284124
SRR10534209	Bulk soil	2016	SAMN13284125
SRR10534210	Bulk soil	2016	SAMN13284126
SRR10534211	Bulk soil	2016	SAMN13284127
SRR10534212	Bulk soil	2016	SAMN13284128
SRR10534213	Bulk soil	2016	SAMN13284129
SRR10534214	Bulk soil	2016	SAMN13284130
SRR10534215	Bulk soil	2016	SAMN13284132
SRR10534216	Bulk soil	2016	SAMN13284133
SRR10534217	Bulk soil	2016	SAMN13284134
SRR10534218	Bulk soil	2016	SAMN13284146
SRR10534219	Bulk soil	2016	SAMN13284136
SRR10534220	Bulk soil	2016	SAMN13284137
SRR10534221	Bulk soil	2016	SAMN13284138
SRR10534222	Bulk soil	2016	SAMN13284139
SRR10534223	Bulk soil	2016	SAMN13284140
SRR10534224	Bulk soil	2016	SAMN13284141
SRR10534225	Bulk soil	2016	SAMN13284142
SRR10534226	Bulk soil	2016	SAMN13284143
SRR10534227	Bulk soil	2016	SAMN13284144
SRR10534228	Bulk soil	2016	SAMN13284145
SRR10534229	Bulk soil	2016	SAMN13284157
SRR10534230	Bulk soil	2016	SAMN13284147
SRR10534231	Bulk soil	2016	SAMN13284148
SRR10534232	Bulk soil	2016	SAMN13284149
SRR10534233	Bulk soil	2016	SAMN13284150
SRR10534234	Bulk soil	2016	SAMN13284151
SRR10534235	Bulk soil	2016	SAMN13284152
SRR10534236	Bulk soil	2016	SAMN13284153
SRR10534237	Bulk soil	2016	SAMN13284154
SRR10534238	Bulk soil	2016	SAMN13284155
SRR10534239	Bulk soil	2016	SAMN13284156
SRR10534240	Bulk soil	2016	SAMN13284213
SRR10534241	Bulk soil	2016	SAMN13284158
SRR10534242	Bulk soil	2016	SAMN13284159
SRR10534243	Bulk soil	2016	SAMN13284160
SRR10534244	Bulk soil	2016	SAMN13284161
SRR10534245	Bulk soil	2016	SAMN13284162
SRR10534246	Bulk soil	2016	SAMN13284168
SRR10534247	rhizosphere	2016	SAMN13284163
SRR10534248	rhizosphere	2016	SAMN13284164
SRR10534249	rhizosphere	2016	SAMN13284165
SRR10534250	rhizosphere	2016	SAMN13284166
SRR10534251	rhizosphere	2016	SAMN13284167
SRR10534252	Bulk soil	2016	SAMN13284179
SRR10534253	rhizosphere	2016	SAMN13284169
SRR10534254	rhizosphere	2016	SAMN13284170
SRR10534255	rhizosphere	2016	SAMN13284171
SRR10534256	rhizosphere	2016	SAMN13284172
SRR10534257	rhizosphere	2016	SAMN13284173
SRR10534258	rhizosphere	2016	SAMN13284174
SRR10534259	rhizosphere	2016	SAMN13284175
SRR10534260	rhizosphere	2016	SAMN13284176
SRR10534261	rhizosphere	2016	SAMN13284177
SRR10534262	rhizosphere	2016	SAMN13284178
SRR10534263	Bulk soil	2016	SAMN13284190
SRR10534264	rhizosphere	2016	SAMN13284180
SRR10534265	rhizosphere	2016	SAMN13284181
SRR10534266	rhizosphere	2016	SAMN13284182
SRR10534267	rhizosphere	2016	SAMN13284183
SRR10534268	rhizosphere	2016	SAMN13284184
SRR10534269	rhizosphere	2016	SAMN13284185
SRR10534270	rhizosphere	2016	SAMN13284186
SRR10534271	rhizosphere	2016	SAMN13284187
SRR10534272	rhizosphere	2016	SAMN13284188
SRR10534273	rhizosphere	2016	SAMN13284189
SRR10534274	Bulk soil	2016	SAMN13284201
SRR10534275	rhizosphere	2016	SAMN13284191
SRR10534276	rhizosphere	2016	SAMN13284192
SRR10534277	rhizosphere	2016	SAMN13284193
SRR10534278	rhizosphere	2016	SAMN13284194
SRR10534279	rhizosphere	2016	SAMN13284195
SRR10534280	rhizosphere	2016	SAMN13284196
SRR10534281	rhizosphere	2016	SAMN13284197
SRR10534282	rhizosphere	2016	SAMN13284198
SRR10534283	rhizosphere	2016	SAMN13284199
SRR10534284	rhizosphere	2016	SAMN13284200
SRR10534285	Bulk soil	2016	SAMN13284212
SRR10534286	rhizosphere	2016	SAMN13284202
SRR10534287	rhizosphere	2016	SAMN13284203
SRR10534288	rhizosphere	2016	SAMN13284204
SRR10534289	rhizosphere	2016	SAMN13284205
SRR10534290	rhizosphere	2016	SAMN13284206
SRR10534291	rhizosphere	2016	SAMN13284207
SRR10534292	rhizosphere	2016	SAMN13284208
SRR10534293	rhizosphere	2016	SAMN13284209
SRR10534294	rhizosphere	2016	SAMN13284210
SRR10534295	rhizosphere	2016	SAMN13284211
SRR10534296	Bulk soil	2015	SAMN13283716
SRR10534297	Bulk soil	2015	SAMN13283723
SRR10534298	Bulk soil	2015	SAMN13283722
SRR10534299	Bulk soil	2015	SAMN13283753
SRR10534300	Bulk soil	2015	SAMN13283724
SRR10534301	Bulk soil	2015	SAMN13283725
SRR10534302	Bulk soil	2015	SAMN13283732
SRR10534303	Bulk soil	2015	SAMN13283739
SRR10534304	Bulk soil	2015	SAMN13283740
SRR10534305	Bulk soil	2015	SAMN13283782
SRR10534306	Bulk soil	2015	SAMN13283754
