Feature ID	Taxon	Confidence
08411b34dad3f6f92c4dc8291776cd64	Unassigned	0.32894635417226514
3cf67719a6b900f9ab08be84886cd5f7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.8128925496988411
d5baedfb23ab25346ee9403a0a57e731	d__Bacteria	0.7397989753978067
8ef8b1b63fdf2d2c4027a319a0c4377a	Unassigned	0.317885865318306
943f140db1b9cbff43a5606f164c3178	d__Bacteria	0.7257834786787277
8471d83cabfc54b15d394f224dc621be	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.8528672558779471
5892a22433c197d11cf5fe94d36279de	Unassigned	0.3774459075929957
0ea87de1485befba8bc0dc9c55579486	Unassigned	0.36344767496182695
4f982847195ab67f4210df0afaf75069	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.7888511834577046
56e399c5a5accec2c4c69ac44fb8491e	Unassigned	0.41993598322926384
7a4e72694fb854f48165c56ee343ee36	d__Bacteria	0.8565656567669157
bb7660a600a0fba2e6e25fd4ee3a186a	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.9043627582091082
b04cb24236a6c62f760c6ef86420a8e5	Unassigned	0.432805849830987
db9af590f13ca77c4902108783f708c1	Unassigned	0.38613477029151033
9f2da9af05f94e93dae36a686be0ccec	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.7496592231739921
969e7fd9fc4c05d5b0b28dea2218e14f	Unassigned	0.3557748932592003
f8df4dd0e441b85ec53c5a4e8849e165	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.9434807446019742
75fae9a3088c4426bd7005949119959a	d__Bacteria	0.706795891267665
c071ba16930f31b3b71f0c95a1f24601	Unassigned	0.6581975747213964
d15c60d0cbcccc14a805d781c5456c92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.7232367588104626
b9c8a0aaa2dcceaf0cd539a36ea52d64	d__Eukaryota	0.701816569612085
03caa0085aedc2f6117fb585d995c73e	d__Bacteria	0.8466347308771158
840916b5a9a60213dfa6d572d059bfdd	Unassigned	0.42109090209813416
15c1b6356dab41ea6c246a812e8db27d	d__Bacteria	0.7392838296779585
c550cd10d27f2bfa2de6c6b0da1d607e	Unassigned	0.37512946753682763
