	PC1	PC2	PC3	PC4	PC5
0.0	-7.434654619342723	-1.155841665953297	0.8371007477828866	-0.29372946088676816	-0.4629224628861945
0.0.1	-7.391720884734186	-1.144654692760861	0.8234707696935946	-0.2939136952252657	-0.45678077089232016
0.0.2	-7.844368646757562	-1.2537496959286296	0.9687867831563863	-0.27795942063216544	-0.5076207772383456
0.0.3	-7.583525871930937	-1.1926912112681871	0.8847263813325078	-0.2900083350429985	-0.48116318238838623
0.0.4	-7.575963758973528	-1.1906368349712138	0.8822225627248426	-0.2900074871107263	-0.47996713005529595
0.0.5	-7.470655009969857	-1.1658492365049813	0.848465417771653	-0.2945260431384466	-0.46905158473844283
0.0.6	-7.7570670014384175	-1.2348000979868257	0.9409698382826717	-0.28386582917953923	-0.5010661171424164
0.0.7	-7.652681484371211	-1.2069537179371885	0.9072439086701773	-0.28386785288404215	-0.4851738475197091
0.0.8	-7.723561314266153	-1.2305166359061896	0.9299370496186735	-0.2907428364258052	-0.5033405709049468
0.0.9	-7.299523022944749	-1.1227813893179788	0.7937883309291872	-0.2977319381216294	-0.44697824497045363
0.0.10	-7.579927494703744	-1.1946286282538296	0.8833624349353434	-0.2943345845594559	-0.4851675729204116
0.0.11	-7.487176835874966	-1.1674096259833118	0.8536302393118294	-0.2905943630545907	-0.4671738765930104
0.0.12	-7.352967715985114	-1.1366830693041032	0.8106586769081833	-0.2975490563316892	-0.45459966817557784
0.0.13	-7.394784813591689	-1.1469906105088046	0.823946550012786	-0.2965169228615856	-0.4596678736166362
0.0.14	-7.362026076683771	-1.1389158743406187	0.8135370772369622	-0.2973254770352666	-0.4556975356892894
0.0.15	-7.243231149785232	-1.1096339854961037	0.7757885962460139	-0.30025758440637335	-0.4412996666515638
0.0.16	-7.243231149785232	-1.1096339854961037	0.7757885962460139	-0.30025758440637335	-0.4412996666515638
0.0.17	-7.369919772424116	-1.1395156102655248	0.8161755319295853	-0.2950940485250303	-0.45454709376387314
0.0.18	-7.349396570777991	-1.1348740904207912	0.8098494491574276	-0.2960372312266199	-0.4526896510732002
0.0.19	-7.324946910005589	-1.1284017555182462	0.8020239020100663	-0.29604943404390394	-0.44904155995888023
0.0.20	-7.243231149785232	-1.1096339854961037	0.7757885962460139	-0.30025758440637335	-0.4412996666515638
0.0.21	-7.333921751410311	-1.133541121186138	0.8048290713517232	-0.3000687296667463	-0.4547119198713223
0.0.22	-7.243231149785232	-1.1096339854961037	0.7757885962460139	-0.30025758440637335	-0.4412996666515638
